"","POWO.name","Status","Max_AlphaPhy","GammaPhy","Med_AlphaPhy","Mean_AlphaPhy","vegheight","genheight"
"1","Achillea filipendulina","Exotic",0.651656769,387823.3185,0.077591684,-0.136,0.2479375,NA
"2","Achillea millefolium","Native",1.302940606,1265894.205,-0.09685103,0.252,0.2194464745671,0.484642780225159
"3","Achillea nobilis","Native",0.651656769,561256.4025,0.131054264,-0.0718,0.433333333333333,0.4
"4","Aconitum carmichaelii","Exotic",1.190724587,471816.0623,0.368171999,0.22,NA,NA
"5","Ajuga reptans","Native",0.651656769,561094.0743,0.215448899,0.0276,0.0774398501872659,0.139705128205128
"6","Alcea rosea","Exotic",0.651656769,149998.6246,0.651656769,-0.0256,0.863,1.786
"7","Allium schoenoprasum","Native",0.651656769,442448.6322,-0.243822971,0.166,0.337368421052632,0.326986111111111
"8","Alyssum alyssoides","Native",0.651656769,628665.8635,0.257188494,0.139,0.151785714285714,0.1515
"9","Amaranthus tricolor","Exotic",1.181753713,984659.4232,0.78617341,0.854,1.25,NA
"10","Anchusa arvensis","Native",0.581167824,340645.264,0.090233978,-0.248,0.321837837837838,0.342857142857143
"11","Anchusa capensis","Exotic",1.073314127,272705.6277,0.036261556,0.169,0.1746,NA
"12","Anchusa officinalis","Native",0.651656769,446524.1788,0.102876272,-0.111,0.394423076923077,0.521428571428571
"13","Anoda cristata","Exotic",1.553052994,1361506.752,0.888560011,0.984,0.471647058823529,NA
"14","Antirrhinum majus","Exotic",0.651656769,344387.3139,0.404944128,-0.046,0.5741,0.5
"15","Aquilegia viridiflora","Exotic",1.190724587,395014.5788,-0.612419027,-0.092,0.0757857142857143,NA
"16","Aquilegia vulgaris","Native",0.607734977,369683.9134,0.351397471,-0.155,0.526086956521739,0.62
"17","Arabis hirsuta","Native",1.190724587,1155202.967,-0.095205827,0.302,0.405857142857143,0.3875
"18","Arabis caucasica","Exotic",0.729946206,424250.641,0.257188494,-0.0976,0.0543181818181818,0.215625
"19","Aster amellus","Native",0.651656769,536595.0347,0.318315882,-0.0124,0.2971875,0.3
"20","Erigeron andicola","Native",0.607734977,261284.3546,0.457003037,0.0325,0.120222222222222,0.162916666666667
"21","ATROPA BELLA-DONNA","Native",0.651656769,551176.19,0.341184679,0.169,1.1875,0.9625
"22","Aurinia saxatilis","Exotic",0.651656769,364448.7732,0.415649111,0.111,0.220454545454545,0.25
"23","Borago officinalis","Native",0.581167824,260318.8166,0.358562743,-0.386,0.522827586206897,0.375
"24","Bunias orientalis","Exotic",0.651656769,406632.9064,-0.308857618,-0.47,0.457176470588235,0.722916666666667
"25","Calendula officinalis","Exotic",0.330971886,95413.66903,0.330971886,-0.279,0.34732,0.375
"26","Calystegia sepium","Native",1.302940606,1729967.924,-0.031827384,0.616818805,1.42756759430571,1.77142857142857
"27","Campanula armena","Exotic",0.651656769,256808.1918,0.246380953,-0.118313788,0.0722142857142857,NA
"28","Campanula barbata","Native",0.557523087,239046.1568,0.390171953,-0.053086726,0.220660714285714,0.2227
"29","Campanula pyramidalis","Exotic",0.479613879,113817.9045,0.419088311,-0.112838498,0.2066875,NA
"30","Campanula rapunculus","Native",0.651656769,529786.6267,0.291900023,0.068832504,0.503638888888889,0.65
"31","Campanula rotundifolia","Native",0.607734977,463344.9086,-0.316316279,-0.38119933,0.175776104746738,0.218143169398907
"32","Cardamine pratensis","Native",0.651656769,838655.8103,-0.177303168,-0.002439844,0.216494382022472,0.364117647058824
"33","Cenchrus caudatus","Exotic",1.073314127,635410.1593,0.32793731,0.029255953,NA,NA
"34","Centaurea macrocephala","Exotic",0.651656769,238068.598,0.534764062,-0.086638046,0.95,NA
"35","Cerastium tomentosum","Exotic",0.479613879,97464.76707,0.458519335,-0.005006892,0.222253846153846,0.225
"36","Chelidonium majus","Native",0.651656769,589510.9235,0.070806564,-0.007980524,0.665135135135135,0.53
"37","Cichorium intybus","Native",0.729946206,762433.5046,0.15220409,0.135367137,0.565686956521739,0.964444444444444
"38","Circaea lutetiana","Native",0.651656769,789746.6122,0.230445955,0.006306644,0.343970588235294,0.45
"39","Clarkia amoena","Exotic",1.162198354,300601.3196,-0.140251182,0.099415564,0.47925,NA
"40","Clematis terniflora","Exotic",1.190724587,448177.0211,0.078696281,0.113,6.5,NA
"41","Clematis vitalba","Native",0.651656769,669900.1913,0.354980107,0.339924853,17.9467916666667,8.18181818181818
"42","Convolvulus arvensis","Native",1.190724587,1276029.546,0.035306753,0.267668929,0.376868591549296,0.4435
"43","Convolvulus tricolor","Exotic",0.581167824,272172.4541,0.339400255,-0.406,0.173785714285714,NA
"44","Cuminum cyminum","Exotic",0.246380953,166692.2089,0.041084675,-0.461813689,0.25,NA
"45","Cynoglossum amabile","Exotic",1.190724587,502945.013,0.897930172,0.435373123,0.20275,NA
"46","Cynoglossum officinale","Native",0.651656769,590574.6047,0.184516844,-0.065806758,0.380083333333333,0.55
"47","Datura stramonium","Exotic",1.490023137,581768.5716,0.903573273,0.691036269,0.827315789473684,0.75
"48","Delphinium ajacis","Exotic",1.162198354,714478.6132,0.437424791,0.423116011,0.626923076923077,0.65
"49","Dianthus armeria","Native",0.651656769,542055.7613,0.328791719,0.213339496,0.273297297297297,0.45
"50","Dianthus caryophyllus","Exotic",0.607734977,109553.7478,0.576350099,-0.050403155,0.274083333333333,0.6
"51","Digitalis lanata","Exotic",0.651656769,231631.9044,0.651656769,-0.048,0.7,NA
"52","Diplotaxis tenuifolia","Exotic",0.651656769,439410.9282,0.413798372,0.270939081,0.439473684210526,0.55
"53","Echium vulgare","Native",0.729946206,594438.5295,0.184516844,-0.075557776,0.413840151522727,0.529418604651163
"54","Epilobium dodonaei","Native",0.651656769,448823.5451,0.43927553,0.198461241,0.71,0.6
"55","Epilobium tetragonum","Native",1.073314127,973328.9561,0.287752188,0.352829026,0.58971875,0.672222222222222
"56","Eragrostis trichodes","Exotic",0.13158928,128116.8353,-0.156816735,-0.948118995,1.0668,NA
"57","Eranthis hyemalis","Exotic",0.498566344,200777.1048,0.358562743,0.025861908,0.10725,0.1
"58","Erigeron acris","Native",1.190724587,1380232.729,0.029528831,0.294371527,0.331739130434783,0.32
"59","Eritrichium canum","Exotic",0.796823095,263006.102,0.191063422,-0.241533622,NA,NA
"60","Eschscholzia californica","Exotic",0.646190343,250820.5009,-0.073072363,-0.127,NA,NA
"61","Eudianthe coeli-rosa","Exotic",0.581167824,182181.5259,0.323086367,-0.674342725,0.562352941176471,NA
"62","Eupatorium cannabinum","Native",1.190724587,1112005.968,0.214510957,0.545674275,0.977592592592593,0.925
"63","Euthamia graminifolia","Exotic",1.302940606,146416.4954,-0.34590692,-1.235229567,0.717660975609756,0.96875
"64","Galeopsis ladanum","Native",0.557523087,299997.7148,0.358562743,0.059760169,0.348684210526316,0.342857142857143
"65","Gilia tricolor","Exotic",0.206982505,79773.80035,0.206982505,-0.374702464,NA,NA
"66","Gypsophila elegans","Exotic",0.651656769,261631.2255,0.286496253,-0.120019109,0.4884,NA
"67","Gypsophila paniculata","Exotic",0.534764062,303912.6173,-0.19745626,-0.571022338,0.775,0.8
"68","Helenium bigelovii","Exotic",0.206982505,87275.42503,0.060328783,-0.493723664,NA,NA
"69","Helianthus annuus","Exotic",1.171642744,395447.0699,0.465154881,0.389792957,1.93154893617021,2
"70","Helianthus debilis","Exotic",0.653808918,116742.1028,0.097532239,-0.757934358,0.1524,NA
"71","Heliotropium arborescens","Exotic",1.449578049,621601.399,1.2096814,0.738438138,NA,NA
"72","Hesperis matronalis","Exotic",0.651656769,379213.8082,0.344767315,0.111649747,0.622425,0.7
"73","Hibiscus trionum","Exotic",0.651656769,555424.3584,0.214510957,0.056050117,0.424966666666667,0.375
"74","Hordeum jubatum","Exotic",1.302940606,521273.7146,-0.219901705,-0.427174788,0.485714285714286,0.4
"75","Iberis amara","Native",0.557523087,246115.3208,0.479613879,0.071683636,0.206818181818182,0.2
"76","Iberis sempervirens","Exotic",0.729946206,351225.2239,0.479613879,-0.026797664,0.139981818181818,NA
"77","Ipomoea tricolor","Exotic",1.176094642,298366.4593,1.103290629,0.354819777,1.2880625,NA
"78","Iris domestica","Exotic",1.190724587,892084.184,0.572570087,0.544666291,0.2,NA
"79","Iris sibirica","Native",0.651656769,451043.6173,-0.158502857,-0.28368425,0.6715,0.55
"80","Ismelia carinata","Exotic",0.029528831,66609.3069,0.029528831,-0.550674124,0.8,NA
"81","Jacobaea maritima","Exotic",0.729946206,352534.4192,0.498566344,-0.0206,0.145684210526316,NA
"82","Jacobaea vulgaris","Native",0.665537433,761558.3368,-0.002142133,0.202283166,0.511548363557995,0.696153846153846
"83","Knautia arvensis","Native",0.576350099,434893.4787,-0.088900478,-0.401879231,0.318460698689956,0.705159090909091
"84","Lathyrus odoratus","Exotic",0.479613879,97464.76707,0.458519335,-0.005006892,0.74395,0.82
"85","Legousia speculum-veneris","Native",0.729946206,512948.6355,0.395575183,0.179378477,0.219,0.212
"86","Lepidium graminifolium","Native",0.729946206,370158.1896,0.437424791,0.006095277,0.519444444444444,0.55
"87","Lepidium heterophyllum","Exotic",0.498566344,210351.4674,0.117748398,-0.416841572,0.271739130434783,0.3
"88","Leucanthemum vulgare","Native",0.651656769,640155.7946,-0.002142133,-0.079682036,0.235826899224806,0.459464788732394
"89","Lilium formosanum","Exotic",0.93785548,82482.06792,0.93785548,0.712964836,NA,NA
"90","Lilium regale","Exotic",1.190724587,298662.9889,1.190724587,0.43696768,1.5,NA
"91","Lithotoma axillaris","Exotic",0.385586533,189127.9088,0.252458077,-0.345652029,NA,NA
"92","Lobelia erinus","Exotic",1.073314127,555106.9204,0.133810158,-0.038831836,0.191086956521739,0.225
"93","Lobelia inflata","Exotic",0.653808918,95459.43994,-0.05386605,-1.392569489,0.8,NA
"94","Lobularia maritima","Exotic",0.581167824,247041.3654,0.323086367,-0.493649845,0.164842105263158,0.175
"95","Lotus corniculatus","Exotic",1.074036907,1206940.404,0.119891335,0.368877922,0.249519141532582,0.289668301886792
"96","Lupinus ehrenbergii var. ehrenbergii","Exotic",1.171642744,329141.8233,1.078851051,0.394,NA,NA
"97","Lysimachia clethroides","Exotic",1.190724587,531649.3401,0.63784115,0.438,0.4,NA
"98","Lysimachia punctata","Exotic",0.651656769,378323.7413,0.326611552,0.067137948,0.7,0.75
"99","Lysimachia vulgaris","Native",0.651656769,723036.0609,0.077591684,-0.040510388,0.943451612903226,0.764035714285714
"100","Malva alcea","Native",0.651656769,413993.2387,0.351397471,0.082908244,0.321565217391304,0.825
"101","Malva moschata","Native",0.651656769,425009.0611,0.413798372,0.180048671,0.348228571428571,0.5
"102","Malva neglecta","Native",0.651656769,758663.9377,0.118819867,0.118758604,0.259210526315789,0.325
"103","Malva trimestris","Exotic",0.729946206,348125.8724,0.384198339,-0.037328549,0.283882352941176,NA
"104","Medicago lupulina","Native",1.190724587,1279254.078,0.230445955,0.442002855,0.186101842319032,0.337121212121212
"105","Mentha spicata","Exotic",1.190724587,964957.3308,0.390171953,0.554049114,0.606578947368421,0.55
"106","Monarda fistulosa","Exotic",1.302940606,268275.2632,-0.107475003,-0.679856726,0.780418408602151,0.682503105590062
"107","Monarda punctata","Exotic",1.302940606,226457.5887,-0.022882892,-0.438811476,0.398461538461538,0.5005
"108","Nemophila maculata","Exotic",0.206982505,79773.80035,-0.086324939,-0.374702464,0.1524,NA
"109","Nepeta racemosa","Exotic",0.651656769,242143.8089,0.390572508,-0.138,0.4,NA
"110","Nicotiana mutabilis","Exotic",0.583970543,127808.2639,0.583970543,-0.045977452,NA,NA
"111","Nicotiana sylvestris","Exotic",0.943435468,246355.3607,0.486924533,0.067812349,0.386941176470588,NA
"112","Nigella arvensis","Native",0.651656769,479267.1487,0.323086367,0.152284755,0.269071428571429,0.246
"113","Oenothera biennis","Exotic",1.103290629,231330.2351,-0.095205827,0.049178438,0.922156060606061,1.005
"114","Oenothera glazioviana","Exotic",1.166046295,263744.3918,0.029901465,0.463268227,0.95598095238,0.8664
"115","Oenothera macrocarpa","Exotic",0.646190343,196108.169,-0.150970364,-0.303270299,0.265347826086957,0.289
"116","Origanum vulgare","Native",1.190724587,1220978.149,0.190775163,0.35616044,0.430839924267568,0.445
"117","Papaver betonicifolium","Exotic",1.190724587,298662.9889,1.190724587,0.437,NA,NA
"118","Papaver cambricum","Exotic",0.498566344,182219.1119,0.324643884,-0.068838189,0.405555555555556,NA
"119","Papaver dubium","Native",0.729946206,719468.5331,0.251784724,0.142085384,0.398888888888889,0.510476190476191
"120","Papaver orientale","Exotic",0.651656769,246575.4107,0.390572508,-0.092132167,0.0788181818181818,NA
"121","Papaver rhoeas","Native",0.729946206,741146.7009,0.230445955,0.085685462,0.429301886792453,0.61125
"122","Papaver commutatum","Exotic",0.534764062,186825.877,0.246380953,-0.324,NA,NA
"123","Persicaria capitata","Exotic",1.190724587,734974.0679,0.78617341,0.466716942,0.1975,NA
"124","Persicaria virginiana","Exotic",1.302940606,243746.4555,-0.022882892,-0.503805142,1.2,NA
"125","Petunia integrifolia","Exotic",0.583970543,170756.2221,0.145379955,-0.361026586,0.19875,NA
"126","Phaseolus coccineus","Exotic",1.490023137,463689.208,1.01034475,0.602525042,1.69989473684211,NA
"127","Phleum pratense","Native",0.651656769,747070.3602,0.090233978,0.028533452,0.518968199294952,1.09164841269841
"128","Phlox drummondii","Exotic",0.311016093,107771.9241,0.059797412,-0.770960928,0.205352941176471,0.35
"129","Physalis peruviana","Exotic",0.943435468,391661.8108,0.543675265,0.006658715,0.433333333333333,NA
"130","Phyteuma orbiculare","Native",0.607734977,329237.8851,0.358562743,0.007720132,0.279181818181818,0.4
"131","Plantago media","Native",0.651656769,615895.9514,-0.16870118,-0.144563114,0.152900655021834,0.25906333607006
"132","Platycodon grandiflorus","Exotic",1.190724587,432432.4305,-0.203393748,0.008000625,0.0647058823529412,NA
"133","Plectocephalus americanus","Exotic",1.171642744,318395.4555,-0.057288808,0.08590754,NA,NA
"134","Polemonium caeruleum","Native",1.190724587,867190.692,-0.236409662,0.094806483,0.413,0.604621212121212
"135","Potentilla atrosanguinea","Exotic",1.074036907,351423.1084,0.630945521,-0.050287554,NA,NA
"136","Pseudofumaria lutea","Exotic",0.557523087,104255.1882,0.518568483,0.0388,0.2125,0.225
"137","Rudbeckia fulgida","Exotic",1.302940606,122814.0102,-0.042307658,-1.116903851,NA,NA
"138","Rudbeckia triloba","Exotic",1.302940606,144552.2115,-0.054944168,-1.045722315,1.0344,1.1824
"139","Rumex crispus","Native",1.190724587,1288301.849,0.074199124,0.327405843,0.838990505054545,18.7794594594595
"140","Salpiglossis sinuata","Exotic",0.030413597,117894.3746,-0.366052314,-0.707024865,NA,NA
"141","Salvia argentea","Exotic",0.729946206,304846.6735,0.358562743,-0.129141848,0.195166666666667,NA
"142","Salvia farinacea","Exotic",0.646190343,188464.9268,-0.05475783,-0.179338289,0.149466666666667,NA
"143","Salvia glutinosa","Native",0.651656769,488563.8258,0.330971886,0.140033235,0.628333333333333,0.6
"144","Salvia lyrata","Exotic",0.396756316,114884.3723,0.045542963,-0.696647131,0.0996190476190476,0.405
"145","Salvia verticillata","Exotic",0.651656769,487990.1158,0.190775163,-0.065692571,0.491285714285714,0.45
"146","Saponaria officinalis","Native",0.729946206,462900.5953,0.351397471,0.101990273,0.576528333333333,0.56875
"147","Scabiosa columbaria","Native",0.664472044,875309.4924,0.257188494,0.331647014,0.165321256038647,0.394808823529412
"148","Senecio ovatus","Native",0.607734977,304155.1771,0.415649111,0.031915252,1.1875,1.05
"149","Lychnis chalcedonica","Exotic",0.070806564,194853.6887,-0.661628239,-1.075025532,0.387,NA
"150","LYCHNIS FLOS-CUCULI","Native",0.651656769,532124.3957,-0.002142133,-0.151931916,0.532142857142857,0.5375
"151","Silene latifolia","Native",0.651656769,683979.4989,-0.032516894,-0.131199299,0.477115833333333,NA
"152","Silene viscosa","Native",0.651656769,542207.3371,-0.110697256,-0.128115515,0.375,0.5
"153","Solanum dulcamara","Native",1.190724587,1291436.492,0.077591684,0.371015175,1.68292307692308,1.15
"154","Solanum nigrum","Native",1.190724587,1543298.941,0.102876272,0.479952768,0.628928571428571,0.385
"155","Solidago canadensis","Exotic",1.302940606,446839.2682,-0.107475003,-0.374585126,0.867378326474623,1.33925925925926
"156","Solidago ptarmicoides","Exotic",0.370622212,106116.7559,-0.327535711,-1.313308868,0.431,0.546
"157","Symphyotrichum lanceolatum","Exotic",1.302940606,311612.7059,-0.11166621,-0.617671634,0.811257142857143,0.610909090909091
"158","Symphyotrichum novi-belgii","Exotic",1.302940606,75381.92645,0.033204867,-1.2844867,0.921183783783784,1.14
"159","Thymus × citriodorus","Exotic",0.498566344,150750.9419,0.414769115,-0.143,NA,NA
"160","Thymus pulegioides","Native",0.607734977,474402.4217,0.220852669,-0.271178207,0.161611111111111,0.18865625
"161","Verbena rigida","Exotic",1.166046295,474496.3439,0.300068513,0.30278441,NA,NA
"162","Vicia sepium","Native",1.190724587,993540.0054,0.090233978,0.316159782,0.513803571428571,0.464451754385965
"163","Viola odorata","Exotic",0.729946206,637436.3483,0.323086367,0.082506347,0.1640625,0.075
"164","Viola tricolor","Native",0.651656769,593292.118,0.215448899,-0.00937597,0.224565217391304,0.224666666666667
"165","Zinnia angustifolia","Exotic",1.171642744,283220.2214,0.874740486,0.28257968,0.2244,NA
"166","Zinnia peruviana","Exotic",1.553052994,1152869.07,0.903573273,0.892561833,NA,NA
